review_id,sem_mentions_bugs,sem_mentions_performance,sem_mentions_gameplay,sem_mentions_price_value,sem_mentions_difficulty,sem_mentions_repetition_grind,sem_mentions_immersion,sem_mentions_frustration_source,sem_num_signals
10057632,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0
10216774,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
10273437,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
10291185,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
10295126,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
10370560,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
10388223,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
10466322,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
10467078,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
10493242,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
10550802,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
10572233,0.0,0.0,1.0,0.0,1.0,0.0,1.0,1.0,0.0
10577031,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
10595455,0.0,1.0,1.0,1.0,0.0,1.0,0.0,1.0,0.0
10627335,0.0,0.0,1.0,1.0,1.0,0.0,0.0,1.0,0.0
10642434,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
10680301,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
10684890,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
10714456,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
10718843,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0
10733946,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0
10758055,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0
10783832,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
10793126,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
10817484,0.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0
10841829,0.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0
10875407,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
10887166,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
10924601,0.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0
10927794,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
10984142,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
11063546,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
11069440,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
11097237,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
11137660,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1123290,0.0,0.0,1.0,1.0,1.0,1.0,0.0,1.0,0.0
11294154,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
11308316,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
11334794,1.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0
11387667,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
11404398,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
11498963,0.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0
11543543,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0
11570677,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0
11645899,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0
11673921,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
11784970,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
11785987,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0
11786998,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0
11800710,0.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0
11808582,0.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0
11853616,1.0,0.0,1.0,1.0,1.0,0.0,0.0,1.0,0.0
11992326,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
12081568,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
12103545,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
12131319,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
12165239,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
12367334,0.0,1.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0
12486999,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
12520724,0.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0
12634050,1.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0
12702941,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
12735883,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
12809959,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
12911731,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
12976976,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
13183806,0.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,0.0
13232015,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
13247796,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0
13263687,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0
13323150,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
13329713,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0
